time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-16T01:18:47.970Z,19.1611671447754,-155.470504760742,32.1699981689453,2.86999989,md,48,100,,0.129999995,hv,hv73452307,2023-06-16T01:22:06.090Z,"Island of Hawaii, Hawaii",earthquake,0.53,0.839999974,1.05999994,39,automatic,hv,hv
2023-06-16T01:12:20.960Z,65.1787,-149.068,10.1,2.6,ml,,,,0.56,ak,ak0237o7f04x,2023-06-16T01:13:57.580Z,"northern Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-06-16T01:01:22.447Z,19.2093,-65.5072,35,2.6,ml,11,264,0.999,0.43,us,us7000k8ue,2023-06-16T01:18:56.040Z,"Puerto Rico region",earthquake,4.08,2.021,0.077,22,reviewed,us,us
2023-06-16T00:59:57.734Z,63.4871,-151.7056,13,1.6,ml,,,,0.73,ak,ak0237o73q65,2023-06-16T01:01:40.548Z,"6 km S of Denali National Park, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-06-16T00:50:10.570Z,37.1404991,-121.1693344,0.16,2.14,md,25,116,0.1336,0.19,nc,nc73901591,2023-06-16T00:59:16.856Z,"20km SW of Gustine, CA",earthquake,0.41,12.94,0.06,15,automatic,nc,nc
2023-06-16T00:41:40.510Z,38.784832,-122.6999969,1.68,1.16,md,9,154,0.01664,0.03,nc,nc73901586,2023-06-16T00:59:15.856Z,"1km NNW of Anderson Springs, CA",earthquake,0.71,1.17,0.18,9,automatic,nc,nc
2023-06-16T00:40:42.110Z,19.1784992218018,-155.482666015625,35.3199996948242,2.58,ml,53,77,,0.100000001,hv,hv73452262,2023-06-16T00:53:21.040Z,"2 km S of Pāhala, Hawaii",earthquake,0.47,0.699999988,2.88,25,automatic,hv,hv
2023-06-16T00:21:14.180Z,61.3051,-146.7957,23.5,1.9,ml,,,,0.47,ak,ak0237o6vhlm,2023-06-16T00:22:47.963Z,"30 km NW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-06-16T00:21:11.880Z,33.3921667,-116.8885,14.67,0.34,ml,17,113,0.04412,0.12,ci,ci40486928,2023-06-16T00:59:18.554Z,"5km NNW of Palomar Observatory, CA",earthquake,0.33,0.66,0.08,6,reviewed,ci,ci
2023-06-16T00:10:35.480Z,19.3438339233398,-155.123168945312,1.55999994277954,1.70000005,md,36,112,,0.230000004,hv,hv73452237,2023-06-16T00:13:39.350Z,"Island of Hawaii, Hawaii",earthquake,0.46,0.649999976,0.569999993,15,automatic,hv,hv
2023-06-15T23:26:35.840Z,38.8063316,-122.7826691,2.13,1.96,md,35,41,0.007089,0.06,nc,nc73901576,2023-06-16T00:36:12.931Z,"4km NW of The Geysers, CA",earthquake,0.18,0.33,0.17,30,automatic,nc,nc
2023-06-15T23:10:41.740Z,33.6348333,-116.6908333,13.67,0.63,ml,22,61,0.03683,0.09,ci,ci40486904,2023-06-16T01:05:49.029Z,"9km N of Anza, CA",earthquake,0.26,0.36,0.119,10,reviewed,ci,ci
2023-06-15T22:58:16.380Z,38.8334999,-122.8138351,1.18,0.89,md,17,69,0.01051,0.05,nc,nc73901571,2023-06-16T00:14:13.557Z,"8km W of Cobb, CA",earthquake,0.24,0.52,0.24,16,automatic,nc,nc
2023-06-15T22:55:03.400Z,38.8263321,-122.8553314,1.64,0.77,md,8,210,0.01975,0.02,nc,nc73901561,2023-06-15T23:51:13.428Z,"10km WNW of The Geysers, CA",earthquake,0.47,0.92,0.2,9,automatic,nc,nc
2023-06-15T22:51:58.330Z,38.8153343,-122.8205032,3.07,0.73,md,14,59,0.009361,0.07,nc,nc73901556,2023-06-15T23:40:12.373Z,"7km NW of The Geysers, CA",earthquake,0.38,1.1,0.38,16,automatic,nc,nc
2023-06-15T22:45:48.020Z,38.8003349,-122.7723312,3.34,0.77,md,9,118,0.01412,0.01,nc,nc73901546,2023-06-15T23:13:13.227Z,"3km NNW of The Geysers, CA",earthquake,0.78,1.66,0.05,8,automatic,nc,nc
2023-06-15T22:42:57.260Z,38.8003349,-122.7693329,3.12,0.75,md,15,96,0.01566,0.02,nc,nc73901541,2023-06-15T23:04:13.165Z,"3km NNW of The Geysers, CA",earthquake,0.3,0.7,0.08,14,automatic,nc,nc
2023-06-15T22:25:20.240Z,33.9958333,-116.8376667,18.46,0.71,ml,17,141,0.04641,0.12,ci,ci40486888,2023-06-16T01:19:29.858Z,"9km NNE of Banning, CA",earthquake,0.28,0.53,0.117,11,reviewed,ci,ci
2023-06-15T22:21:44.516Z,62.7698,-150.4792,77,1.5,ml,,,,0.46,ak,ak0237mwfqr7,2023-06-15T22:24:05.197Z,"33 km NNE of Petersville, Alaska",earthquake,,0.8,,,automatic,ak,ak
2023-06-15T22:18:36.460Z,38.7735,-122.7203333,1.36,1.37,md,38,43,0.01241,0.05,nc,nc73901531,2023-06-16T00:33:10.685Z,"2km W of Anderson Springs, CA",earthquake,0.17,0.24,0.158,31,reviewed,nc,nc
2023-06-15T22:16:36.867Z,62.1132,-147.7322,32,1.7,ml,,,,0.86,ak,ak0237mwenl2,2023-06-15T22:18:22.713Z,"34 km N of Glacier View, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-06-15T22:02:50.378Z,34.7377,23.2862,10,4.1,mb,43,185,1.426,0.71,us,us7000k8t3,2023-06-15T22:30:29.040Z,"65 km SSW of Palaióchora, Greece",earthquake,7.14,1.934,0.104,25,reviewed,us,us
2023-06-15T22:02:00.640Z,38.8403333,-122.8246667,1.94,0.47,md,26,68,0.008628,0.02,nc,nc73901526,2023-06-15T23:28:12.306Z,"9km WNW of Cobb, CA",earthquake,0.18,0.39,0.141,25,reviewed,nc,nc
2023-06-15T21:46:07.820Z,38.8278351,-122.7986679,1.94,0.77,md,7,140,0.0124,0,nc,nc73901521,2023-06-15T22:14:11.849Z,"7km W of Cobb, CA",earthquake,0.44,1.48,0.18,10,automatic,nc,nc
2023-06-15T21:36:06.150Z,19.173999786377,-155.48649597168,32.8699989318848,2.27999997,md,39,94,,0.100000001,hv,hv73452157,2023-06-15T21:41:38.020Z,"3 km SSW of Pāhala, Hawaii",earthquake,0.61,1.03999996,0.319999993,21,automatic,hv,hv
2023-06-15T21:34:47.028Z,38.7565,-118.5336,3,1.7,ml,14,87.25,0.445,0.201,nn,nn00861275,2023-06-15T21:37:26.838Z,"California-Nevada border region",earthquake,,2,0.22,9,automatic,nn,nn
2023-06-15T21:07:34.955Z,61.4874,-149.9052,32,1.9,ml,,,,0.54,ak,ak0237mvradz,2023-06-15T21:09:35.316Z,"4 km SE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-06-15T20:34:17.410Z,36.887001,-121.6223297,0.52,1.74,md,16,75,0.02448,0.21,nc,nc73901511,2023-06-15T21:37:13.767Z,"2km E of Aromas, CA",earthquake,0.38,1.08,0.09,4,automatic,nc,nc
2023-06-15T20:32:27.400Z,17.9538333333333,-66.9656666666667,14.95,2.49,md,4,216,0.08491,0.05,pr,pr71413548,2023-06-15T21:39:38.820Z,"6 km WSW of Guánica, Puerto Rico",earthquake,0.75,0.68,0.222469677803152,3,reviewed,pr,pr
2023-06-15T20:28:52.515Z,36.9851,-116.4171,1.8,0.8,ml,13,100.11,0.018,0.1716,nn,nn00861274,2023-06-15T20:30:44.686Z,"31 km ENE of Beatty, Nevada",earthquake,,0.4,0.86,9,automatic,nn,nn
2023-06-15T20:20:58.120Z,19.354,-63.9545,33,3.69,md,10,301,1.4167,0.27,pr,pr2023166001,2023-06-15T21:03:06.729Z,"Leeward Islands",earthquake,1.87,18.01,0.15,4,reviewed,pr,pr
2023-06-15T20:17:50.630Z,46.90716666666667,-121.8755,10.98,0.38,ml,20,126,0.04192,0.1,uw,uw61933501,2023-06-15T22:18:38.000Z,"Washington",earthquake,0.29,0.59,0.18017228741839036,7,reviewed,uw,uw
2023-06-15T20:17:19.112Z,61.9017,-148.4218,15,1.4,ml,,,,0.74,ak,ak0237mv7ypz,2023-06-15T20:19:55.258Z,"11 km N of Chickaloon, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-06-15T20:06:45.413Z,61.1854,-147.171,10.4,1.4,ml,,,,0.38,ak,ak0237mv5nuj,2023-06-15T20:09:02.933Z,"Southern Alaska",earthquake,,2.8,,,automatic,ak,ak
2023-06-15T20:00:19.910Z,45.788833333333336,-123.03,-0.45,1.95,ml,6,179,0.1651,0.07,uw,uw61933496,2023-06-15T22:08:25.210Z,"12 km WNW of Scappoose, Oregon",explosion,0.76,31.61,0.1631973929543178,6,reviewed,uw,uw
